quarter,courseId,title,description,subjectArea,unitsFixed,unitsVariableHigh,unitsVariableLow,instructionType,instructionTypeSecondary,onLineCourse,deptCode,generalEducation,enrollCode,section,classClosed,room,building,days,beginTime,endTime,instructor,functionCode,Prerequisites,Unlocks
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",18,100,Y,HALL,CAMPB, T R   ,12:30,13:45,HOELLE J A,Teaching and in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",26,101,,1207,HSSB,M      ,08:00,08:50,WADE M L,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",34,102,,1210,HSSB,M      ,12:00,12:50,COBB E E,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",42,103,,1214,HSSB,M      ,13:00,13:50,CASTANEDA GAR,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59,104,,1224,HSSB,M      ,14:00,14:50,CLEM E M,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",67,105,,1210,HSSB, T     ,08:00,08:50,ADDONIGIO M B,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",75,106,,1215,HSSB, T     ,09:00,09:50,ADDONIGIO M B,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",83,107,,1227,HSSB, T     ,10:00,10:50,NYLEN R W,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",91,108,,1227,HSSB, T     ,11:00,11:50,JHANJI S,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",109,109,,1210,HSSB,  W    ,08:00,08:50,JHANJI S,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",117,110,,1227,HSSB,  W    ,09:00,09:50,NYLEN R W,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",125,111,,1232,HSSB,  W    ,10:00,10:50,VEZARD M A,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",133,112,,1214,HSSB,  W    ,11:00,11:50,VEZARD M A,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",141,113,,1214,HSSB,   R   ,08:00,08:50,ART K H,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",158,114,,1231,HSSB,   R   ,09:00,09:50,ART K H,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
