id,quarter,course_id,title,description,subject_area,units,general_ed,prerequisites,unlocks
1,20243,CH STW    1B,INTRO CHICANO/A STD,"Introduction to the historical and contemporary development of the Chicano/ a community. Course is interdisciplinary in nature. Focuses by quarter on A . history, B. gender, and C. culture.",CH STW,4,"[""AMH"", ""ETH"", ""ETH"", ""ETH"", ""D"", ""D"", ""WRT"", ""WRT""]",[],[]
2,20243,ESS  W    9,PRIN HEALTH PROMO,Examines lifestyle factors and influences which decrease the possibility of premature disease and death and promote a longer and healthier life. Empha sis is placed on understanding the practices which have the most profound i mpact on health. The purpose of this course is to provide an overview of ma jor issues in health promotion and disease prevention. Including an examina tion of lifestyle choices that have the greatest impact on promoting health and wellness and preventing disease within the context of college life and beyond. This course provides a detailed exploration of the specific causes of premature mortality and introduces activities and practices that can be applied to a lifestyle to improve health and help prevent disease.,ESS  W,2,[],[],[]
3,20243,ESS  W  131,SPORT EXERCISE PSY,"The scientific study of people and their behavior in sport and exercise settings. Examination of individual and group performance enhancement strategies through application of data, knowledge and skills from psychological and related fields. An overview of the evolving field of and exercise psychology is presented.",ESS  W,4,[],[],[]
4,20243,FAMST    96,ADV FILM ANALYSIS,"A study of the basic formal dimensions of cinema: narration, space, time, a nd sound.",FAMST,5,[],[],[]
5,20243,FEMST   198,READING FEMST STU,Directed readings in women's studies under the guidance of a faculty member in the program. Students wishing to enroll should prepare a short written plan of study.,FEMST,,[],[],[]
6,20243,GER     116A,HOLOCAUST REPRESNTN,Close reading of post-Holocaust literature. Taught in English.,GER,4,"[""E"", ""G"", ""WRT"", ""E"", ""G"", ""WRT""]",[],[]
7,20243,GLOBL     1,GLOBL HIS/CUL/IDEOL,"A survey of the historical processes that have brought different areas of the world into closer contact. Topics include ideologies of nationalism, democracy, and liberalism; international trade and migrations; technological changes; colonialism; the globalization of culture; and the reactions to them.",GLOBL,4,"[""E"", ""NWC"", ""E"", ""NWC""]",[],[]
8,20243,CH ST   189,IMMIG-US-MEX BORDER,Immigration and the U.S. border. An analysis of the socioeconomic and polit ical factors which have determined and continue to form the basis for the d evelopment of United States immigration policies and practices toward Mexic o and the U.S.-Mexican border.,CH ST,4,"[""ETH"", ""ETH"", ""ETH""]",[],[]
9,20243,CH STW  184A,CHICANA WRITERS,"Examination of literary works by Chicana writers. Feminist theories as well as other contemporary critical theories are applied to the analysis of prose, poetry and dramatic works written by such authors as Sandra Cisneros, Ana Castillo, Helen Viramontes, and others.",CH STW,4,"[""G"", ""ETH"", ""WRT"", ""G"", ""ETH"", ""WRT"", ""ETH""]",[],[]
10,20243,CHEM      1B,GENERAL CHEMISTRY,"Topics covered: equilibrium; acids, bases, and buffers; thermochemistry (en ergy, enthalpy, entropy, and free energy); electrochemistry.",CHEM,3,[],[],[]
11,20243,ENV S   193TK,TRAD ECO KNOWLEDGE,"Traditional Ecological Knowledge (TEK), is used to describe Indigenous Peop les' ways of knowing their relationship to land, air, water, flora, fauna, to each other, and to all beings. Knowledge of these relationships are pass ed down from generation to generation through stories, life ways, culture, and ceremony. Through selected readings, guest speakers, and individual res earch projects students will honor the wisdom and teachings offered by trad itional ecological knowledges from many ancestors and relations.",ENV S,4,[],[],[]
12,20243,CNCSP   114,PSYCH OF GENDER,"Provides an overview of psychological theory and research   related to gender issues. Topics include bias in   psychology, gender socialization, communication styles,   lifespan development, ethnicity, education, careers,   relationships, violence and victimization, health and   mental health.",CNCSP,4,[],[],[]
13,20243,ECON      5,STAT ECON,"An introduction to probalistic modeling and statistical inference applied t o the analysis of economic data for students with basic knowledge of calcul us. Topics covered include: probability, discrete and continuous random var iables, probability distributions, mean, variance, correlation, sampling, p arameter estimation, unbiasedness and efficiency, confidence intervals, hyp othesis testing. Computing labs with Excel.",ECON,5,[],[],[]
14,20243,FEMST    60,WOMEN OF COLOR,"Examination of the interlocking dynamics and politics of gender, race, sexu ality, class, and culture in the experience of U.S. women of color. Reading s focus on oppositional consciousness and resistance to oppression in the s cholarship and literature by women of color.",FEMST,4,"[""D"", ""D"", ""ETH"", ""ETH"", ""ETH"", ""WRT"", ""WRT""]",[],[]
15,20243,COMM    199RA,INDEP RESEARCH ASST,Coursework consists of faculty supervised research assistance.,COMM,,[],[],[]
16,20243,LING    195C,HONORS THESIS,Guided research and writing of an original research paper to meet the requirements of the honors program in Linguistics.,LING,,[],[],[]
17,20243,CHEM      1BL,GEN CHEMISTRY LAB,"Qualitative and quantitative measurements to develop laboratory technique and demonstrate basic concepts of thermochemistry, electrochemistry, chemical kinetics and atomic spectroscopy.",CHEM,2,[],[],[]
18,20243,COMM     88,COMM RESEARCH METH,"An introduction to social scientific research methods in the study of commu nication. Important issues in conducting research are examined in the conte xts of survey research, experimental design, content analysis, and qualitat ive research.",COMM,5,[],[],[]
