gold_id,prerequisites,unlocks
CHEM 1A,No Prerequisites,"CHEM 1B, CHEM 2AL, CHEM CS 110, CHEM 6AL, CHEM 193, CHEM CS 11B"
CHEM 1BL,CHEM 1A or 2A or 3A with a minimum grade of C-; CHEM 1B or 2B or 3B (may betaken concurrently).,None
CHEM 1AL,Chemistry 1A or 2A or 3A (may be taken concurrently).,None
CHEM 1B,"CHEM 1A, CHEM 2A or CHEM 3A with a minimum grade of C-.","CHEM CS 11C, CHEM 1C, CHEM CS 110, CHEM 2BL, CHEM 3C, CHEM 6AL"
CHEM 1C,"CHEM 1B, CHEM 2B or CHEM 3B with a minimum grade of C-.","CHEM CS 110, CHEM 6AL, CHEM 109A, CHEM 193, EARTH 124I, EARTH 163"
CHEM 1CL,Chemistry 1B or 2B or 3B with a minimum grade of C-; Chemistry 1C or 2C or 3C (may be taken concurrently).,None
CHEM 6AL,"Chemistry 1AL or 2AC, 1BL or 2BC, and 1CL or 2CC, or Chemistry 2AL and 2BL; 109A or 109AH or 130A with a minimum grade of a C-; and Chemistry 109B or 109BH or 130B (may be taken concurrently).",None
CHEM 6BL,Chemistry 6AL and 109A or 109AH or 130A with a minimum grade of C-; and Chemistry 109B or 109BH or 130B.,None
CHEM 99,Consent of instructor.,None
CHEM 109B,"Chemistry 130A, 109A or 109AH with a minimum grade of C-.","CHEM 6AL, CHEM 6BH, CHEM 6BL, CHEM 6CH, CHEM 6CL, CHEM 109C"
CHEM 109C,Chemistry 130B or 109B or 109BH with a minimum grade of C-.,"CHEM 6CH, CHEM 6CL, CHEM 127, CHEM 132, CHEM 129, CHEM 142A"
CHEM 123,Chemistry 1A-B.,None
CHEM 150,Chemistry 1A-B-C or 2A-B-C.,"CHEM 118, CHEM 116AL, CHEM 153"
ECON 1,No Prerequisites,"ECON 2, ECON 10A, ECON 96"
ECON 3A,No Prerequisites,ECON 3B
ECON 3AH,Concurrent with Econ 3A.,None
ECON 3B,Economics 3A.,"ECON 136A, ECON 137A, ECON 138A, ECON 185, ECON 189"
ECON 3BH,Concurrent with Econ 3B.,None
ECON 5,"Math 34A-B or Math 2A-B or 3A-B; Math 34B or 2B or 3B can be taken simultaneously. Course cannot be used to satisfy any Actuarial Science, Financial Math & Statistics or Statistical Science major or minor requirements.","ECON 100B, ECON 101, ECON 136A, ECON 137A, ECON 138A, ECON 140A"
ECON 9,No Prerequisites,None
ECON 2,Economics 1,"ECON 10A, ECON 96"
ECON 10A,"Economics 1 and 2; Mathematics 34A-B, 2A-B, or 3A-B.","ECON 114B, ECON 191VC, ECON 100B, ECON 101, ECON 107B, ECON 136A"
ECON 100B,"Economics 10A or 100A; and, Economics 5 or PSTAT 109 or PSTAT 120A.","ECON 106, ECON 134A, ECON 135, ECON 157, ECON 171, ECON 187"
ECON 101,"Economics 10A or 100A; and, Economics 5 or PSTAT 109 or PSTAT 120A.","ECON 135, ECON 130, ECON 180, ECON 181"
ECON 106,Economics 100B or 104B.,None
ECON 107B,Economics 10A.,None
ECON 112A,Economics 10A,None
ECON 114A,Economics 10A or 104A.,None
ECON 118,Economics 136C,ECON 118H
ECON 93,No Prerequisites,None
ECON 96,Approval by the Department based on performance in Economics 1 and 2.,None
ECON 107A,Economics 10A,None
ECON 116A,Economics 100B or 104B and 140A.,None
ECON 114B,Economics 10A or 104A,None
ECON 134A,"Economics 100B or 104B, and 140A.",ECON 134C
ECON 135,Economics 100B and 101.,None
ECON 136A,"Economics 3B; and, Economics 10A or 100A; and, Economics 5 or PSTAT 109 or PSTAT 120A.","ECON 136AH, ECON 136B, ECON 136C, ECON 139, WRIT 107A"
ECON 136C,Economics 136A-B.,"ECON 118, ECON 136CH"
ECON 137A,"Economics 3B; and, Economics 10A or 100A; and, Economics 5 or PSTAT 109 or PSTAT 120A.","ECON 137AH, ECON 137B"
ECON 140A,"Economics 10A or 100A; and, Economics 5 or PSTAT 109 or PSTAT 120A.","ECON 134A, ECON 140B, ECON 116A, ECON 170, ECON 117A, ECON 174"
ECON 140B,Economics 140A.,ECON 196B
ECON 150A,Economics 10A.,None
ECON 193,No Prerequisites,None
BMSE 199,Upper-division standing; consent of instructor and department.,None
ECON 199,Upper-division standing in the major; 3.0 UD major GPA and 3.0 GPA in preceding 3 quarters; completion of 2 upper-division courses in Economics; consent of department and instructor.,None
ECON 298,Masters level standing in Department of Economics.,None
ECON 596,Graduate standing and consent of instructor.,None
PHYS 5,Physics 4 with a grade of C- or better.,"ECE 136C, PHYS 5L, PHYS 13CL, PHYS 110A, PHYS 129L, PHYS 133"
PHYS 6A,Mathematics 2A or 3A or 34A (may be taken concurrently) or AP Math AB Exam score of 3 or better.,"EARTH 100, CHEM 112A, CHEM 113A, EARTH 113, EARTH 135, EARTH 133"
PHYS 6AL,Concurrent enrollment in Physics 6A.,None
PHYS 4,Physics 3 with a grade of C- or better.,"CHEM 112A, CHEM 113A, PHYS 4L, PHYS 5L, ECE 132, PHYS 5"
PHYS 4L,Physics 4 or 24 (may be taken concurrently).,"CHEM 112A, CHEM 113A"
PHYS 5L,"Physics 4 or 24; and, Physics 5 or 25 (may be taken concurrently).","ECE 136C, ECE 136A, ECE 136B"
PHYS CS 5,Consent of Instructor,None
PHYS 6B,Physics 6A with a minimum grade of C-.,"EARTH 100, CHEM 112A, CHEM 113A, EARTH 135, EARTH 136, MCDB 108C"
PHYS 6BL,Concurrent enrollment in Physics 6B.,None
PHYS 3,Physics 2 with a grade of C- or better; Mathematics 2A-B or 3A-B (AP Math BC Exam score of 3 or better) and 4A.,"EARTH 100, BIOE 120A, BIOE 220A, CHEM 112A, CHEM 113A, PHYS 4"
PHYS 3L,Physics 3 or 23 (may be taken concurrently).,"CHEM 112A, CHEM 113A, ME 6"
PHYS 6C,Physics 6B with a minimum grade of C-.,"EARTH 100, CHEM 112A, CHEM 113A, EARTH 135, EARTH 136, MCDB 108C"
PHYS 6CL,Concurrent enrollment in Physics 6C.,None
MATH 2A,Qualifying score on the Mathematics Placement Exam.,"CH E 10, CHEM 112A, CHEM 113A, ENV S 30, EEMB 146, PHYS 3"
MATH 3A,Qualifying score on the Mathematics Placement Exam.,"CH E 10, CHEM 112A, CHEM 113A, EARTH 113, EARTH 124IG, EARTH 135"
MATH 3B,Mathematics 3A with a minimum grade of C.,"CH E 10, CHEM 112A, CHEM 113A, EARTH 113, EARTH 124IG, EARTH 135"
MATH 4A,Math 2B or 3B or 3BI with a minimum grade of C.,"PSTATW 120A, PSTATW 160A, CH E 10, EARTH 135, EARTH 133, EARTH 136"
MATH 4B,Math 4A or Math 4AI with a minimum grade of C.,"CH E 120A, CH E 132B, CHEM 115A, EARTH 135, EARTH 133, EARTH 136"
MATH 6A,Mathematics 4A (or 4AI) with a letter grade of C or better.,"PSTATW 120A, CH E 120A, CH E 132B, CHEM 112A, CHEM 113A, EARTH 135"
MATH 6B,"Mathematics 4B (or 4BI) and Mathematics 6A, each with a minimum grade of C.","BIOE 120A, BIOE 220A, CH E 120A, CH E 132B, CH E 154, ECE 134"
MATH 8,Mathematics 4A or 4AI or 4B or 4BI or 6A or 6B with a grade of B or better.,"PSTATW 160A, MATH 102A, MATH 113, MATH 119A"
MATH 34A,No Prerequisites,"EARTH 113, ENV S 30, ENV S 113, EEMB 146"
MATH 34B,Mathematics 2A or 3A or 34A with a grade of C or better.,"EARTH 113, ENV S 113, EEMB 146"
MATH 101B,Math 101A with a minimum grade of C.,None
MATH 2B,Mathematics 2A with a minimum grade of C.,"CH E 10, CHEM 112A, CHEM 113A, EARTH 168, ENV S 168, EEMB 146"
MATH 104A,"Mathematics 4B or 4BI, 6A, and 6B; and, Math 8 or PSTAT 8, and Math 117 and, Computer Science 5AA-ZZ or 10 or 8 or 16 or Engineering 3, each with a grade of C or above.",None
MATH 104B,Math 104A with a minimum grade of C.,None
